,id,first_name,second_name,team_name,team_id,type_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,minutes,form,bonus_form_t1,fantasy_form_t1,cost_t1,minutes_t1,goals_t1,assists_t1,clean_sheets_t1,goals_conceded_t1,saves_t1,bonus_per_min_t1,pts_per_min_t1,goals_per_min_t1,assists_per_min_t1,clean_sheets_per_min_t1,goals_conceded_per_min_t1,saves_per_min_t1,own_team_form,home,next_team,next_team_pos_t,fantasy_points_t
0,1,Wojciech,Szczesny,Arsenal,1,Goalkeeper,50,0.0,0.0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,SOU,12,0
1,2,David,Ospina,Arsenal,1,Goalkeeper,47,100.0,100.0,90,1.2,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,SOU,12,0
2,3,Petr,Cech,Arsenal,1,Goalkeeper,60,0.0,0.0,2520,2.8,53.0,11.0,57,270.0,0.0,0.0,1.0,2.0,9.0,0.196296296296,0.0407407407407,0.0,0.0,0.0037037037037,0.0,0.0333333333333,3,False,SOU,12,0
3,4,Laurent,Koscielny,Arsenal,1,Defender,63,0.0,0.0,2035,1.4,47.0,10.0,60,190.0,0.0,0.0,1.0,1.0,0.0,0.247368421053,0.0526315789474,0.0,0.0,0.00526315789474,0.0,0.0,3,False,SOU,12,0
4,5,Per,Mertesacker,Arsenal,1,Defender,52,100.0,100.0,1817,0.8,66.0,10.0,53,270.0,0.0,0.0,1.0,2.0,0.0,0.244444444444,0.037037037037,0.0,0.0,0.0037037037037,0.0,0.0,3,False,SOU,12,0
5,6,Gabriel Armando,de Abreu,Arsenal,1,Defender,43,100.0,100.0,1184,2.0,20.0,2.0,44,80.0,0.0,0.0,0.0,1.0,0.0,0.25,0.025,0.0,0.0,0.0,0.0,0.0,3,False,SOU,12,0
6,7,Héctor,Bellerín,Arsenal,1,Defender,61,100.0,100.0,2430,3.8,53.0,10.0,59,270.0,0.0,0.0,1.0,2.0,0.0,0.196296296296,0.037037037037,0.0,0.0,0.0037037037037,0.0,0.0,3,False,SOU,12,0
7,8,Kieran,Gibbs,Arsenal,1,Defender,51,100.0,100.0,374,0.4,5.0,2.0,52,42.0,0.0,0.0,0.0,0.0,0.0,0.119047619048,0.047619047619,0.0,0.0,0.0,0.0,0.0,3,False,SOU,12,0
8,9,Mathieu,Debuchy,Arsenal,1,Defender,51,0.0,0.0,142,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,SOU,12,0
9,10,Carl,Jenkinson,Arsenal,1,Defender,48,0.0,0.0,1228,0.0,16.0,3.0,50,93.0,0.0,0.0,0.0,1.0,0.0,0.172043010753,0.0322580645161,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,1
10,11,Nacho,Monreal,Arsenal,1,Defender,59,,,2439,2.0,76.0,11.0,59,270.0,0.0,0.0,1.0,2.0,0.0,0.281481481481,0.0407407407407,0.0,0.0,0.0037037037037,0.0,0.0,3,False,SOU,12,0
11,12,Calum,Chambers,Arsenal,1,Defender,46,,,317,0.2,15.0,5.0,47,16.0,0.0,1.0,0.0,0.0,0.0,0.9375,0.3125,0.0,0.0625,0.0,0.0,0.0,3,False,SOU,12,1
12,13,Alexis,Sánchez,Arsenal,1,Midfielder,109,100.0,100.0,1650,3.6,19.0,4.0,109,59.0,0.0,1.0,0.0,1.0,0.0,0.322033898305,0.0677966101695,0.0,0.0169491525424,0.0,0.0,0.0,3,False,SOU,12,0
13,14,Theo,Walcott,Arsenal,1,Midfielder,81,100.0,100.0,1282,2.0,18.0,7.0,83,90.0,0.0,1.0,1.0,0.0,0.0,0.2,0.0777777777778,0.0,0.0111111111111,0.0111111111111,0.0,0.0,3,False,SOU,12,2
14,15,Mesut,Özil,Arsenal,1,Midfielder,100,100.0,100.0,2348,6.6,84.0,22.0,98,265.0,1.0,2.0,1.0,2.0,0.0,0.316981132075,0.0830188679245,0.00377358490566,0.00754716981132,0.00377358490566,0.0,0.0,3,False,SOU,12,2
15,16,Santiago,Cazorla,Arsenal,1,Midfielder,79,0.0,0.0,1203,0.0,11.0,1.0,79,90.0,0.0,0.0,0.0,1.0,0.0,0.122222222222,0.0111111111111,0.0,0.0,0.0,0.0,0.0,3,False,SOU,12,0
16,17,Aaron,Ramsey,Arsenal,1,Midfielder,79,100.0,100.0,2217,3.4,90.0,26.0,81,251.0,2.0,1.0,1.0,2.0,0.0,0.358565737052,0.103585657371,0.00796812749004,0.00398406374502,0.00398406374502,0.0,0.0,3,False,SOU,12,2
17,18,Jack,Wilshere,Arsenal,1,Midfielder,58,0.0,0.0,0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,SOU,12,0
18,19,Alex,Oxlade-Chamberlain,Arsenal,1,Midfielder,55,0.0,0.0,928,2.0,22.0,4.0,55,109.0,0.0,0.0,0.0,1.0,0.0,0.201834862385,0.0366972477064,0.0,0.0,0.0,0.0,0.0,3,False,SOU,12,1
19,20,Mikel,Arteta,Arsenal,1,Midfielder,47,100.0,100.0,166,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,SOU,12,0
20,21,Tomas,Rosicky,Arsenal,1,Midfielder,49,0.0,0.0,0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,SOU,12,0
21,22,Serge,Gnabry,Arsenal,1,Midfielder,45,100.0,100.0,13,0.0,0.0,0.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,SWA,16,0
22,23,Gedion,Zelalem,Arsenal,1,Midfielder,48,0.0,0.0,0,0.0,0.0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,SOU,12,0
23,24,Francis,Coquelin,Arsenal,1,Midfielder,42,100.0,100.0,1192,1.0,0.0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,SOU,12,0
24,25,Mathieu,Flamini,Arsenal,1,Midfielder,44,100.0,100.0,1089,0.6,47.0,7.0,44,270.0,0.0,0.0,1.0,2.0,0.0,0.174074074074,0.0259259259259,0.0,0.0,0.0037037037037,0.0,0.0,3,False,SOU,12,2
25,26,Olivier,Giroud,Arsenal,1,Forward,89,,,1923,2.8,58.0,12.0,90,259.0,2.0,0.0,1.0,2.0,0.0,0.223938223938,0.046332046332,0.00772200772201,0.0,0.003861003861,0.0,0.0,3,False,SOU,12,2
26,27,Danny,Welbeck,Arsenal,1,Forward,73,100.0,100.0,201,3.8,0.0,0.0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,SOU,12,0
27,28,Chuba,Akpom,Arsenal,1,Forward,50,0.0,0.0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,SOU,12,0
