,id,first_name,second_name,team_name,team_id,type_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,minutes,form,bonus_form_t1,fantasy_form_t1,cost_t1,minutes_t1,goals_t1,assists_t1,clean_sheets_t1,goals_conceded_t1,saves_t1,bonus_per_min_t1,pts_per_min_t1,goals_per_min_t1,assists_per_min_t1,clean_sheets_per_min_t1,goals_conceded_per_min_t1,saves_per_min_t1,own_team_form,home,next_team,next_team_pos_t,fantasy_points_t
0,1,Wojciech,Szczesny,Arsenal,1,Goalkeeper,50,0.0,0.0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,EVE,10,0
1,2,David,Ospina,Arsenal,1,Goalkeeper,47,100.0,100.0,90,1.2,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,EVE,10,0
2,3,Petr,Cech,Arsenal,1,Goalkeeper,60,0.0,0.0,2520,2.8,70.0,11.0,56,270.0,0.0,0.0,1.0,4.0,15.0,0.259259259259,0.0407407407407,0.0,0.0,0.0037037037037,0.0,0.0555555555556,3,True,EVE,10,3
3,4,Laurent,Koscielny,Arsenal,1,Defender,63,0.0,0.0,2035,1.4,35.0,2.0,59,180.0,0.0,0.0,0.0,4.0,0.0,0.194444444444,0.0111111111111,0.0,0.0,0.0,0.0,0.0,3,True,EVE,10,10
4,5,Per,Mertesacker,Arsenal,1,Defender,52,100.0,100.0,1817,0.8,54.0,7.0,53,180.0,0.0,0.0,1.0,2.0,0.0,0.3,0.0388888888889,0.0,0.0,0.00555555555556,0.0,0.0,3,True,EVE,10,0
5,6,Gabriel Armando,de Abreu,Arsenal,1,Defender,43,100.0,100.0,1184,2.0,27.0,3.0,49,135.0,0.0,0.0,1.0,2.0,0.0,0.2,0.0222222222222,0.0,0.0,0.00740740740741,0.0,0.0,3,True,EVE,10,2
6,7,Héctor,Bellerín,Arsenal,1,Defender,61,100.0,100.0,2430,3.8,76.0,12.0,57,270.0,0.0,1.0,1.0,4.0,0.0,0.281481481481,0.0444444444444,0.0,0.0037037037037,0.0037037037037,0.0,0.0,3,True,EVE,10,2
7,8,Kieran,Gibbs,Arsenal,1,Defender,51,100.0,100.0,374,0.4,5.0,1.0,52,10.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,3,True,EVE,10,1
8,9,Mathieu,Debuchy,Arsenal,1,Defender,51,0.0,0.0,142,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,EVE,10,0
9,10,Carl,Jenkinson,Arsenal,1,Defender,48,0.0,0.0,1228,0.0,54.0,9.0,50,264.0,1.0,0.0,0.0,5.0,0.0,0.204545454545,0.0340909090909,0.00378787878788,0.0,0.0,0.0,0.0,1,True,CHE,15,2
