,id,first_name,second_name,team_name,team_id,type_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,minutes,form,bonus_form_t1,fantasy_form_t1,cost_t1,minutes_t1,goals_t1,assists_t1,clean_sheets_t1,goals_conceded_t1,saves_t1,bonus_per_min_t1,pts_per_min_t1,goals_per_min_t1,assists_per_min_t1,clean_sheets_per_min_t1,goals_conceded_per_min_t1,saves_per_min_t1,own_team_form,home,next_team,next_team_pos_t,fantasy_points_t
0,1,Wojciech,Szczesny,Arsenal,1,Goalkeeper,50,0.0,0.0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,TOT,5,0
1,2,David,Ospina,Arsenal,1,Goalkeeper,47,100.0,100.0,90,1.2,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,TOT,5,0
2,3,Petr,Cech,Arsenal,1,Goalkeeper,60,0.0,0.0,2520,2.8,67.0,16.0,56,270.0,0.0,0.0,2.0,1.0,10.0,0.248148148148,0.0592592592593,0.0,0.0,0.00740740740741,0.0,0.037037037037,3,True,TOT,5,3
3,4,Laurent,Koscielny,Arsenal,1,Defender,63,0.0,0.0,2035,1.4,69.0,17.0,59,180.0,1.0,0.0,1.0,1.0,0.0,0.383333333333,0.0944444444444,0.00555555555556,0.0,0.00555555555556,0.0,0.0,3,True,TOT,5,2
4,5,Per,Mertesacker,Arsenal,1,Defender,52,100.0,100.0,1817,0.8,62.0,11.0,53,180.0,0.0,0.0,2.0,0.0,0.0,0.344444444444,0.0611111111111,0.0,0.0,0.0111111111111,0.0,0.0,3,True,TOT,5,2
5,6,Gabriel Armando,de Abreu,Arsenal,1,Defender,43,100.0,100.0,1184,2.0,49.0,8.0,48,180.0,0.0,0.0,1.0,1.0,0.0,0.272222222222,0.0444444444444,0.0,0.0,0.00555555555556,0.0,0.0,3,True,TOT,5,0
6,7,Héctor,Bellerín,Arsenal,1,Defender,61,100.0,100.0,2430,3.8,89.0,19.0,59,270.0,0.0,1.0,2.0,1.0,0.0,0.32962962963,0.0703703703704,0.0,0.0037037037037,0.00740740740741,0.0,0.0,3,True,TOT,5,0
7,8,Kieran,Gibbs,Arsenal,1,Defender,51,100.0,100.0,374,0.4,8.0,2.0,52,12.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.166666666667,0.0,0.0,0.0,0.0,0.0,3,True,TOT,5,7
8,9,Mathieu,Debuchy,Arsenal,1,Defender,51,0.0,0.0,142,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,TOT,5,2
9,10,Carl,Jenkinson,Arsenal,1,Defender,48,0.0,0.0,1228,0.0,61.0,16.0,50,270.0,2.0,0.0,0.0,4.0,0.0,0.225925925926,0.0592592592593,0.00740740740741,0.0,0.0,0.0,0.0,3,True,EVE,8,2
10,11,Nacho,Monreal,Arsenal,1,Defender,59,,,2439,2.0,87.0,14.0,58,270.0,0.0,0.0,2.0,1.0,0.0,0.322222222222,0.0518518518519,0.0,0.0,0.00740740740741,0.0,0.0,3,True,TOT,5,2
11,12,Calum,Chambers,Arsenal,1,Defender,46,,,317,0.2,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,TOT,5,0
12,13,Alexis,Sánchez,Arsenal,1,Midfielder,109,100.0,100.0,1650,3.6,100.0,28.0,116,247.0,3.0,0.0,2.0,1.0,0.0,0.404858299595,0.113360323887,0.0121457489879,0.0,0.0080971659919,0.0,0.0,3,True,TOT,5,2
13,14,Theo,Walcott,Arsenal,1,Midfielder,81,100.0,100.0,1282,2.0,19.0,12.0,85,137.0,0.0,2.0,2.0,0.0,0.0,0.138686131387,0.0875912408759,0.0,0.014598540146,0.014598540146,0.0,0.0,3,True,TOT,5,0
14,15,Mesut,Özil,Arsenal,1,Midfielder,100,100.0,100.0,2348,6.6,111.0,30.0,86,244.0,1.0,4.0,2.0,1.0,0.0,0.454918032787,0.122950819672,0.00409836065574,0.016393442623,0.00819672131148,0.0,0.0,3,True,TOT,5,8
15,16,Santiago,Cazorla,Arsenal,1,Midfielder,79,0.0,0.0,1203,0.0,78.0,14.0,81,270.0,0.0,1.0,2.0,1.0,0.0,0.288888888889,0.0518518518519,0.0,0.0037037037037,0.00740740740741,0.0,0.0,3,True,TOT,5,1
16,17,Aaron,Ramsey,Arsenal,1,Midfielder,79,100.0,100.0,2217,3.4,39.0,11.0,81,180.0,1.0,0.0,2.0,0.0,0.0,0.216666666667,0.0611111111111,0.00555555555556,0.0,0.0111111111111,0.0,0.0,3,True,TOT,5,0
17,18,Jack,Wilshere,Arsenal,1,Midfielder,58,0.0,0.0,0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,TOT,5,0
18,19,Alex,Oxlade-Chamberlain,Arsenal,1,Midfielder,55,0.0,0.0,928,2.0,14.0,4.0,56,107.0,0.0,0.0,0.0,1.0,0.0,0.130841121495,0.0373831775701,0.0,0.0,0.0,0.0,0.0,3,True,TOT,5,0
19,20,Mikel,Arteta,Arsenal,1,Midfielder,47,100.0,100.0,166,0.0,3.0,1.0,47,10.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,3,True,TOT,5,1
20,21,Tomas,Rosicky,Arsenal,1,Midfielder,49,0.0,0.0,0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,TOT,5,0
21,22,Serge,Gnabry,Arsenal,1,Midfielder,45,100.0,100.0,13,0.0,0.0,0.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,MUN,4,0
22,23,Gedion,Zelalem,Arsenal,1,Midfielder,48,0.0,0.0,0,0.0,0.0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,TOT,5,0
23,24,Francis,Coquelin,Arsenal,1,Midfielder,42,100.0,100.0,1192,1.0,60.0,6.0,44,270.0,0.0,0.0,2.0,1.0,0.0,0.222222222222,0.0222222222222,0.0,0.0,0.00740740740741,0.0,0.0,3,True,TOT,5,2
24,25,Mathieu,Flamini,Arsenal,1,Midfielder,44,100.0,100.0,1089,0.6,-2.0,1.0,44,10.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.1,0.0,0.0,0.0,0.0,0.0,3,True,TOT,5,1
25,26,Olivier,Giroud,Arsenal,1,Forward,89,,,1923,2.8,59.0,12.0,87,133.0,2.0,0.0,0.0,1.0,0.0,0.443609022556,0.0902255639098,0.015037593985,0.0,0.0,0.0,0.0,3,True,TOT,5,2
26,27,Danny,Welbeck,Arsenal,1,Forward,73,100.0,100.0,201,3.8,0.0,0.0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,TOT,5,0
27,28,Chuba,Akpom,Arsenal,1,Forward,50,0.0,0.0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,TOT,5,0
28,29,Yaya,Sanogo,Arsenal,1,Forward,50,0.0,0.0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,TOT,5,0
29,30,Bradley,Guzan,Aston Villa,2,Goalkeeper,41,,,1980,0.6,45.0,5.0,45,270.0,0.0,0.0,0.0,5.0,8.0,0.166666666667,0.0185185185185,0.0,0.0,0.0,0.0,0.0296296296296,3,True,MCI,1,6
30,31,Shay,Given,Stoke,15,Goalkeeper,43,0.0,0.0,0,0.0,0.0,0.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,CHE,16,0
31,32,Leandro,Bacuna,Aston Villa,2,Defender,47,100.0,100.0,1853,2.6,15.0,1.0,48,90.0,0.0,0.0,0.0,2.0,0.0,0.166666666667,0.0111111111111,0.0,0.0,0.0,0.0,0.0,3,True,MCI,1,1
32,33,Kieran,Richardson,Aston Villa,2,Defender,41,100.0,100.0,559,0.0,10.0,0.0,43,153.0,0.0,0.0,0.0,4.0,0.0,0.0653594771242,0.0,0.0,0.0,0.0,0.0,0.0,3,True,MCI,1,0
33,34,Ron,Vlaar,Aston Villa,2,Defender,45,,,0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,MCI,1,0
34,35,Philippe,Senderos,Aston Villa,2,Defender,40,100.0,100.0,0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,MCI,1,0
35,36,Aly,Cissokho,Aston Villa,2,Defender,45,,,900,1.4,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,MCI,1,0
36,37,Alan,Hutton,Aston Villa,2,Defender,41,100.0,100.0,1706,0.4,41.0,2.0,43,270.0,0.0,0.0,0.0,5.0,0.0,0.151851851852,0.00740740740741,0.0,0.0,0.0,0.0,0.0,3,True,MCI,1,6
37,38,Ciaran,Clark,Aston Villa,2,Defender,43,100.0,100.0,992,0.2,0.0,0.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,MCI,1,6
38,39,Jores,Okore,Aston Villa,2,Defender,44,100.0,100.0,990,1.2,0.0,0.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,MCI,1,0
39,40,Nathan,Baker,Aston Villa,2,Defender,40,0.0,0.0,0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,MCI,1,0
40,41,Lewis,Kinsella,Aston Villa,2,Defender,38,,,0,0.0,0.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,MCI,1,0
41,42,Micah,Richards,Aston Villa,2,Defender,43,100.0,100.0,1884,1.2,35.0,3.0,45,270.0,0.0,0.0,0.0,5.0,0.0,0.12962962963,0.0111111111111,0.0,0.0,0.0,0.0,0.0,3,True,MCI,1,6
42,43,Fabian,Delph,Man City,9,Midfielder,54,0.0,0.0,514,0.3,0.0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,1
43,44,Carles,Gil de Pareja Vicent,Aston Villa,2,Midfielder,46,100.0,100.0,1229,1.8,25.0,4.0,47,123.0,0.0,0.0,0.0,3.0,0.0,0.20325203252,0.0325203252033,0.0,0.0,0.0,0.0,0.0,1,True,MCI,1,3
44,45,Charles,N'Zogbia,Aston Villa,2,Midfielder,45,,,43,0.0,0.0,0.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,MCI,1,1
