,id,first_name,second_name,team_name,team_id,type_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,minutes,form,bonus_form_t1,fantasy_form_t1,cost_t1,minutes_t1,goals_t1,assists_t1,clean_sheets_t1,goals_conceded_t1,saves_t1,bonus_per_min_t1,pts_per_min_t1,goals_per_min_t1,assists_per_min_t1,clean_sheets_per_min_t1,goals_conceded_per_min_t1,saves_per_min_t1,own_team_form,home,next_team,next_team_pos_t,fantasy_points_t
0,1,Wojciech,Szczesny,Arsenal,1,Goalkeeper,50,0.0,0.0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,0
1,2,David,Ospina,Arsenal,1,Goalkeeper,47,100.0,100.0,90,1.2,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,0
2,3,Petr,Cech,Arsenal,1,Goalkeeper,60,0.0,0.0,2520,2.8,34.0,6.0,57,270.0,0.0,0.0,0.0,4.0,5.0,0.125925925926,0.0222222222222,0.0,0.0,0.0,0.0,0.0185185185185,1,False,AVL,20,6
3,4,Laurent,Koscielny,Arsenal,1,Defender,63,0.0,0.0,2035,1.4,39.0,4.0,60,190.0,0.0,0.0,0.0,3.0,0.0,0.205263157895,0.0210526315789,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,8
4,5,Per,Mertesacker,Arsenal,1,Defender,52,100.0,100.0,1817,0.8,47.0,5.0,53,270.0,0.0,0.0,0.0,4.0,0.0,0.174074074074,0.0185185185185,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,6
5,6,Gabriel Armando,de Abreu,Arsenal,1,Defender,43,100.0,100.0,1184,2.0,20.0,2.0,46,80.0,0.0,0.0,0.0,1.0,0.0,0.25,0.025,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,0
6,7,Héctor,Bellerín,Arsenal,1,Defender,61,100.0,100.0,2430,3.8,24.0,2.0,59,180.0,0.0,0.0,0.0,3.0,0.0,0.133333333333,0.0111111111111,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,6
7,8,Kieran,Gibbs,Arsenal,1,Defender,51,100.0,100.0,374,0.4,24.0,8.0,52,79.0,1.0,0.0,0.0,2.0,0.0,0.303797468354,0.101265822785,0.0126582278481,0.0,0.0,0.0,0.0,1,False,AVL,20,1
8,9,Mathieu,Debuchy,Arsenal,1,Defender,51,0.0,0.0,142,0.0,23.0,2.0,52,76.0,0.0,0.0,0.0,1.0,0.0,0.302631578947,0.0263157894737,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,0
9,10,Carl,Jenkinson,Arsenal,1,Defender,48,0.0,0.0,1228,0.0,40.0,4.0,50,270.0,0.0,0.0,0.0,6.0,0.0,0.148148148148,0.0148148148148,0.0,0.0,0.0,0.0,0.0,1,True,STK,11,0
10,11,Nacho,Monreal,Arsenal,1,Defender,59,,,2439,2.0,46.0,5.0,59,270.0,0.0,0.0,0.0,4.0,0.0,0.17037037037,0.0185185185185,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,7
11,12,Calum,Chambers,Arsenal,1,Defender,46,,,317,0.2,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,1
12,13,Alexis,Sánchez,Arsenal,1,Midfielder,109,100.0,100.0,1650,3.6,38.0,8.0,111,239.0,0.0,1.0,0.0,4.0,0.0,0.1589958159,0.0334728033473,0.0,0.00418410041841,0.0,0.0,0.0,1,False,AVL,20,0
13,14,Theo,Walcott,Arsenal,1,Midfielder,81,100.0,100.0,1282,2.0,0.0,0.0,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,6
14,15,Mesut,Özil,Arsenal,1,Midfielder,100,100.0,100.0,2348,6.6,93.0,26.0,95,270.0,1.0,2.0,0.0,4.0,0.0,0.344444444444,0.0962962962963,0.0037037037037,0.00740740740741,0.0,0.0,0.0,1,False,AVL,20,6
15,16,Santiago,Cazorla,Arsenal,1,Midfielder,79,0.0,0.0,1203,0.0,22.0,2.0,80,225.0,0.0,0.0,0.0,4.0,0.0,0.0977777777778,0.00888888888889,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,0
16,17,Aaron,Ramsey,Arsenal,1,Midfielder,79,100.0,100.0,2217,3.4,13.0,2.0,80,71.0,0.0,0.0,0.0,1.0,0.0,0.183098591549,0.0281690140845,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,11
17,18,Jack,Wilshere,Arsenal,1,Midfielder,58,0.0,0.0,0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,0
18,19,Alex,Oxlade-Chamberlain,Arsenal,1,Midfielder,55,0.0,0.0,928,2.0,3.0,1.0,55,19.0,0.0,0.0,0.0,0.0,0.0,0.157894736842,0.0526315789474,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,1
19,20,Mikel,Arteta,Arsenal,1,Midfielder,47,100.0,100.0,166,0.0,0.0,0.0,47,49.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,0
20,21,Tomas,Rosicky,Arsenal,1,Midfielder,49,0.0,0.0,0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,0
21,22,Serge,Gnabry,Arsenal,1,Midfielder,45,100.0,100.0,13,0.0,0.0,0.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,LIV,9,0
22,23,Gedion,Zelalem,Arsenal,1,Midfielder,48,0.0,0.0,0,0.0,0.0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,0
23,24,Francis,Coquelin,Arsenal,1,Midfielder,42,100.0,100.0,1192,1.0,20.0,3.0,43,103.0,0.0,0.0,0.0,1.0,0.0,0.194174757282,0.0291262135922,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,0
24,25,Mathieu,Flamini,Arsenal,1,Midfielder,44,100.0,100.0,1089,0.6,28.0,4.0,44,177.0,0.0,0.0,0.0,1.0,0.0,0.158192090395,0.0225988700565,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,3
25,26,Olivier,Giroud,Arsenal,1,Forward,89,,,1923,2.8,20.0,11.0,89,270.0,1.0,0.0,0.0,4.0,0.0,0.0740740740741,0.0407407407407,0.0037037037037,0.0,0.0,0.0,0.0,1,False,AVL,20,6
26,27,Danny,Welbeck,Arsenal,1,Forward,73,100.0,100.0,201,3.8,0.0,0.0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,0
27,28,Chuba,Akpom,Arsenal,1,Forward,50,0.0,0.0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,0
28,29,Yaya,Sanogo,Arsenal,1,Forward,50,0.0,0.0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,AVL,20,0
29,30,Bradley,Guzan,Aston Villa,2,Goalkeeper,41,,,1980,0.6,55.0,9.0,44,270.0,0.0,0.0,1.0,7.0,12.0,0.203703703704,0.0333333333333,0.0,0.0,0.0037037037037,0.0,0.0444444444444,1,True,ARS,1,1
30,31,Shay,Given,Stoke,15,Goalkeeper,43,0.0,0.0,0,0.0,0.0,0.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,WHU,8,0
31,32,Leandro,Bacuna,Aston Villa,2,Defender,47,100.0,100.0,1853,2.6,2.0,1.0,47,19.0,0.0,0.0,0.0,0.0,0.0,0.105263157895,0.0526315789474,0.0,0.0,0.0,0.0,0.0,1,True,ARS,1,1
32,33,Kieran,Richardson,Aston Villa,2,Defender,41,100.0,100.0,559,0.0,52.0,5.0,42,180.0,0.0,1.0,0.0,7.0,0.0,0.288888888889,0.0277777777778,0.0,0.00555555555556,0.0,0.0,0.0,1,True,ARS,1,0
33,34,Ron,Vlaar,Aston Villa,2,Defender,45,,,0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,ARS,1,0
34,35,Philippe,Senderos,Aston Villa,2,Defender,40,100.0,100.0,0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,ARS,1,0
35,36,Aly,Cissokho,Aston Villa,2,Defender,45,,,900,1.4,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,ARS,1,0
