,id,first_name,second_name,team_name,team_id,type_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,minutes,form,bonus_form_t1,fantasy_form_t1,cost_t1,own_team_form,home,next_team_t,next_team_pos,fantasy_points_t
21,22,Serge,Gnabry,Arsenal,1,Midfielder,45,100.0,100.0,13,0.0,2,1,48,3,False,CRY,3,0
22,23,Gedion,Zelalem,Arsenal,1,Midfielder,48,0.0,0.0,0,0.0,0,0,48,3,True,MUN,3,0
23,24,Francis,Coquelin,Arsenal,1,Midfielder,42,100.0,100.0,1048,1.0,103,11,44,3,True,MUN,3,2
24,25,Mathieu,Flamini,Arsenal,1,Midfielder,44,100.0,100.0,1083,1.3,0,0,44,3,True,MUN,3,0
25,26,Olivier,Giroud,Arsenal,1,Forward,90,,,1817,3.3,59,16,88,3,True,MUN,3,1
26,27,Danny,Welbeck,Arsenal,1,Forward,73,100.0,100.0,90,4.0,0,0,74,3,True,MUN,3,0
27,28,Chuba,Akpom,Arsenal,1,Forward,50,0.0,0.0,0,0.0,0,0,50,3,True,MUN,3,0
28,29,Yaya,Sanogo,Arsenal,1,Forward,50,0.0,0.0,0,0.0,0,0,50,3,True,MUN,3,0
29,30,Bradley,Guzan,Aston Villa,2,Goalkeeper,42,,,1800,0.0,78,10,45,1,True,STK,14,3
30,31,Shay,Given,Stoke,15,Goalkeeper,43,0.0,0.0,0,0.0,0,0,44,1,False,AVL,18,0
31,32,Leandro,Bacuna,Aston Villa,2,Defender,47,100.0,100.0,1746,3.3,59,5,49,1,True,STK,14,0
32,33,Kieran,Richardson,Aston Villa,2,Defender,41,100.0,100.0,559,0.3,0,0,43,1,True,STK,14,0
33,34,Ron,Vlaar,Aston Villa,2,Defender,45,,,0,0.0,0,0,45,1,True,STK,14,0
34,35,Philippe,Senderos,Aston Villa,2,Defender,40,100.0,100.0,0,0.0,0,0,40,1,True,STK,14,0
35,36,Aly,Cissokho,Aston Villa,2,Defender,45,,,720,1.8,0,0,45,1,True,STK,14,0
36,37,Alan,Hutton,Aston Villa,2,Defender,41,100.0,100.0,1526,0.3,43,4,43,1,True,STK,14,2
