,id,first_name,second_name,team_name,team_id,type_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,minutes,form,bonus_form_t1,fantasy_form_t1,cost_t1,minutes_t1,goals_t1,assists_t1,clean_sheets_t1,goals_conceded_t1,saves_t1,bonus_per_min_t1,pts_per_min_t1,goals_per_min_t1,assists_per_min_t1,clean_sheets_per_min_t1,goals_conceded_per_min_t1,saves_per_min_t1,own_team_form,home,next_team,next_team_pos_t,fantasy_points_t
0,1,Wojciech,Szczesny,Arsenal,1,Goalkeeper,50,0.0,0.0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,CHE,13,0
1,2,David,Ospina,Arsenal,1,Goalkeeper,47,100.0,100.0,90,1.2,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,CHE,13,0
2,3,Petr,Cech,Arsenal,1,Goalkeeper,60,0.0,0.0,2520,2.8,77.0,19.0,58,270.0,0.0,0.0,2.0,3.0,12.0,0.285185185185,0.0703703703704,0.0,0.0,0.00740740740741,0.0,0.0444444444444,1,True,CHE,13,3
3,4,Laurent,Koscielny,Arsenal,1,Defender,63,0.0,0.0,2035,1.4,61.0,16.0,61,180.0,1.0,0.0,1.0,3.0,0.0,0.338888888889,0.0888888888889,0.00555555555556,0.0,0.00555555555556,0.0,0.0,1,True,CHE,13,2
4,5,Per,Mertesacker,Arsenal,1,Defender,52,100.0,100.0,1817,0.8,65.0,13.0,53,270.0,0.0,0.0,2.0,3.0,0.0,0.240740740741,0.0481481481481,0.0,0.0,0.00740740740741,0.0,0.0,1,True,CHE,13,-2
5,6,Gabriel Armando,de Abreu,Arsenal,1,Defender,43,100.0,100.0,1184,2.0,47.0,14.0,43,90.0,1.0,0.0,1.0,0.0,0.0,0.522222222222,0.155555555556,0.0111111111111,0.0,0.0111111111111,0.0,0.0,1,True,CHE,13,2
6,7,Héctor,Bellerín,Arsenal,1,Defender,61,100.0,100.0,2430,3.8,73.0,14.0,61,270.0,0.0,0.0,2.0,3.0,0.0,0.27037037037,0.0518518518519,0.0,0.0,0.00740740740741,0.0,0.0,1,True,CHE,13,2
7,8,Kieran,Gibbs,Arsenal,1,Defender,51,100.0,100.0,374,0.4,33.0,8.0,52,106.0,0.0,0.0,1.0,1.0,0.0,0.311320754717,0.0754716981132,0.0,0.0,0.00943396226415,0.0,0.0,1,True,CHE,13,0
8,9,Mathieu,Debuchy,Arsenal,1,Defender,51,0.0,0.0,142,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,CHE,13,0
9,10,Carl,Jenkinson,Arsenal,1,Defender,48,0.0,0.0,1228,0.0,15.0,2.0,50,125.0,0.0,0.0,0.0,1.0,0.0,0.12,0.016,0.0,0.0,0.0,0.0,0.0,3,True,MCI,2,1
10,11,Nacho,Monreal,Arsenal,1,Defender,59,,,2439,2.0,51.0,9.0,59,189.0,0.0,0.0,1.0,3.0,0.0,0.269841269841,0.047619047619,0.0,0.0,0.00529100529101,0.0,0.0,1,True,CHE,13,2
11,12,Calum,Chambers,Arsenal,1,Defender,46,,,317,0.2,32.0,6.0,46,92.0,0.0,0.0,1.0,0.0,0.0,0.347826086957,0.0652173913043,0.0,0.0,0.0108695652174,0.0,0.0,1,True,CHE,13,0
12,13,Alexis,Sánchez,Arsenal,1,Midfielder,109,100.0,100.0,1650,3.6,0.0,0.0,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,CHE,13,1
13,14,Theo,Walcott,Arsenal,1,Midfielder,81,100.0,100.0,1282,2.0,10.0,8.0,83,245.0,0.0,0.0,2.0,2.0,0.0,0.0408163265306,0.0326530612245,0.0,0.0,0.00816326530612,0.0,0.0,1,True,CHE,13,2
14,15,Mesut,Özil,Arsenal,1,Midfielder,100,100.0,100.0,2348,6.6,89.0,18.0,100,266.0,1.0,1.0,2.0,2.0,0.0,0.334586466165,0.0676691729323,0.00375939849624,0.00375939849624,0.00751879699248,0.0,0.0,1,True,CHE,13,2
15,16,Santiago,Cazorla,Arsenal,1,Midfielder,79,0.0,0.0,1203,0.0,0.0,0.0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,CHE,13,0
16,17,Aaron,Ramsey,Arsenal,1,Midfielder,79,100.0,100.0,2217,3.4,67.0,16.0,81,270.0,1.0,1.0,2.0,3.0,0.0,0.248148148148,0.0592592592593,0.0037037037037,0.0037037037037,0.00740740740741,0.0,0.0,1,True,CHE,13,2
17,18,Jack,Wilshere,Arsenal,1,Midfielder,58,0.0,0.0,0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,CHE,13,0
18,19,Alex,Oxlade-Chamberlain,Arsenal,1,Midfielder,55,0.0,0.0,928,2.0,26.0,7.0,55,173.0,0.0,0.0,2.0,1.0,0.0,0.150289017341,0.0404624277457,0.0,0.0,0.0115606936416,0.0,0.0,1,True,CHE,13,1
19,20,Mikel,Arteta,Arsenal,1,Midfielder,47,100.0,100.0,166,0.0,2.0,1.0,47,4.0,0.0,0.0,0.0,1.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,1,True,CHE,13,0
20,21,Tomas,Rosicky,Arsenal,1,Midfielder,49,0.0,0.0,0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,CHE,13,0
21,22,Serge,Gnabry,Arsenal,1,Midfielder,45,100.0,100.0,13,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,AVL,20,0
22,23,Gedion,Zelalem,Arsenal,1,Midfielder,48,0.0,0.0,0,0.0,0.0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,CHE,13,0
23,24,Francis,Coquelin,Arsenal,1,Midfielder,42,100.0,100.0,1192,1.0,0.0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,CHE,13,0
24,25,Mathieu,Flamini,Arsenal,1,Midfielder,44,100.0,100.0,1089,0.6,26.0,4.0,44,180.0,0.0,0.0,1.0,3.0,0.0,0.144444444444,0.0222222222222,0.0,0.0,0.00555555555556,0.0,0.0,1,True,CHE,13,1
