,id,first_name,second_name,team_name,team_id,type_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,minutes,form,bonus_form_t1,fantasy_form_t1,cost_t1,minutes_t1,goals_t1,assists_t1,clean_sheets_t1,goals_conceded_t1,saves_t1,bonus_per_min_t1,pts_per_min_t1,goals_per_min_t1,assists_per_min_t1,clean_sheets_per_min_t1,goals_conceded_per_min_t1,saves_per_min_t1,own_team_form,home,next_team,next_team_pos_t,fantasy_points_t
0,1,Wojciech,Szczesny,Arsenal,1,Goalkeeper,50,0.0,0.0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LEI,1,0
1,2,David,Ospina,Arsenal,1,Goalkeeper,47,100.0,100.0,90,1.2,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LEI,1,0
2,3,Petr,Cech,Arsenal,1,Goalkeeper,60,0.0,0.0,2520,2.8,81.0,21.0,59,270.0,0.0,0.0,2.0,1.0,12.0,0.3,0.0777777777778,0.0,0.0,0.00740740740741,0.0,0.0444444444444,1,True,LEI,1,2
3,4,Laurent,Koscielny,Arsenal,1,Defender,63,0.0,0.0,2035,1.4,71.0,15.0,63,270.0,0.0,0.0,2.0,1.0,0.0,0.262962962963,0.0555555555556,0.0,0.0,0.00740740740741,0.0,0.0,1,True,LEI,1,0
4,5,Per,Mertesacker,Arsenal,1,Defender,52,100.0,100.0,1817,0.8,19.0,4.0,53,107.0,0.0,0.0,1.0,1.0,0.0,0.177570093458,0.0373831775701,0.0,0.0,0.00934579439252,0.0,0.0,1,True,LEI,1,2
5,6,Gabriel Armando,de Abreu,Arsenal,1,Defender,43,100.0,100.0,1184,2.0,43.0,7.0,43,159.0,0.0,0.0,1.0,1.0,0.0,0.270440251572,0.0440251572327,0.0,0.0,0.0062893081761,0.0,0.0,1,True,LEI,1,0
6,7,Héctor,Bellerín,Arsenal,1,Defender,61,100.0,100.0,2430,3.8,78.0,15.0,61,270.0,0.0,0.0,2.0,1.0,0.0,0.288888888889,0.0555555555556,0.0,0.0,0.00740740740741,0.0,0.0,1,True,LEI,1,2
7,8,Kieran,Gibbs,Arsenal,1,Defender,51,100.0,100.0,374,0.4,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LEI,1,0
8,9,Mathieu,Debuchy,Arsenal,1,Defender,51,0.0,0.0,142,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LEI,1,0
9,10,Carl,Jenkinson,Arsenal,1,Defender,48,0.0,0.0,1228,0.0,6.0,2.0,49,28.0,0.0,0.0,0.0,1.0,0.0,0.214285714286,0.0714285714286,0.0,0.0,0.0,0.0,0.0,3,False,NOR,17,0
10,11,Nacho,Monreal,Arsenal,1,Defender,59,,,2439,2.0,79.0,17.0,59,270.0,0.0,0.0,2.0,1.0,0.0,0.292592592593,0.062962962963,0.0,0.0,0.00740740740741,0.0,0.0,1,True,LEI,1,2
11,12,Calum,Chambers,Arsenal,1,Defender,46,,,317,0.2,2.0,1.0,46,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1,True,LEI,1,1
12,13,Alexis,Sánchez,Arsenal,1,Midfielder,109,100.0,100.0,1650,3.6,14.0,4.0,110,124.0,0.0,0.0,1.0,0.0,0.0,0.112903225806,0.0322580645161,0.0,0.0,0.00806451612903,0.0,0.0,1,True,LEI,1,2
13,14,Theo,Walcott,Arsenal,1,Midfielder,81,100.0,100.0,1282,2.0,19.0,6.0,82,174.0,0.0,0.0,1.0,1.0,0.0,0.109195402299,0.0344827586207,0.0,0.0,0.00574712643678,0.0,0.0,1,True,LEI,1,6
14,15,Mesut,Özil,Arsenal,1,Midfielder,100,100.0,100.0,2348,6.6,27.0,5.0,99,180.0,0.0,0.0,1.0,1.0,0.0,0.15,0.0277777777778,0.0,0.0,0.00555555555556,0.0,0.0,1,True,LEI,1,8
15,16,Santiago,Cazorla,Arsenal,1,Midfielder,79,0.0,0.0,1203,0.0,0.0,0.0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LEI,1,0
16,17,Aaron,Ramsey,Arsenal,1,Midfielder,79,100.0,100.0,2217,3.4,44.0,8.0,80,270.0,0.0,0.0,2.0,1.0,0.0,0.162962962963,0.0296296296296,0.0,0.0,0.00740740740741,0.0,0.0,1,True,LEI,1,1
17,18,Jack,Wilshere,Arsenal,1,Midfielder,58,0.0,0.0,0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LEI,1,0
18,19,Alex,Oxlade-Chamberlain,Arsenal,1,Midfielder,55,0.0,0.0,928,2.0,21.0,4.0,55,106.0,0.0,0.0,1.0,0.0,0.0,0.198113207547,0.0377358490566,0.0,0.0,0.00943396226415,0.0,0.0,1,True,LEI,1,2
19,20,Mikel,Arteta,Arsenal,1,Midfielder,47,100.0,100.0,166,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LEI,1,0
20,21,Tomas,Rosicky,Arsenal,1,Midfielder,49,0.0,0.0,0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LEI,1,0
21,22,Serge,Gnabry,Arsenal,1,Midfielder,45,100.0,100.0,13,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,EVE,10,0
22,23,Gedion,Zelalem,Arsenal,1,Midfielder,48,0.0,0.0,0,0.0,0.0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LEI,1,0
23,24,Francis,Coquelin,Arsenal,1,Midfielder,42,100.0,100.0,1192,1.0,-1.0,0.0,42,6.0,0.0,0.0,0.0,0.0,0.0,-0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LEI,1,1
24,25,Mathieu,Flamini,Arsenal,1,Midfielder,44,100.0,100.0,1089,0.6,30.0,7.0,44,264.0,0.0,0.0,2.0,1.0,0.0,0.113636363636,0.0265151515152,0.0,0.0,0.00757575757576,0.0,0.0,1,True,LEI,1,0
25,26,Olivier,Giroud,Arsenal,1,Forward,89,,,1923,2.8,16.0,5.0,91,201.0,0.0,0.0,2.0,0.0,0.0,0.0796019900498,0.0248756218905,0.0,0.0,0.00995024875622,0.0,0.0,1,True,LEI,1,5
26,27,Danny,Welbeck,Arsenal,1,Forward,73,100.0,100.0,201,3.8,0.0,0.0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LEI,1,6
27,28,Chuba,Akpom,Arsenal,1,Forward,50,0.0,0.0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LEI,1,0
28,29,Yaya,Sanogo,Arsenal,1,Forward,50,0.0,0.0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LEI,1,0
29,30,Bradley,Guzan,Aston Villa,2,Goalkeeper,41,,,1980,0.6,0.0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LIV,8,0
30,31,Shay,Given,Stoke,15,Goalkeeper,43,0.0,0.0,0,0.0,0.0,0.0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,BOU,15,0
31,32,Leandro,Bacuna,Aston Villa,2,Defender,47,100.0,100.0,1853,2.6,43.0,8.0,47,270.0,0.0,0.0,1.0,3.0,0.0,0.159259259259,0.0296296296296,0.0,0.0,0.0037037037037,0.0,0.0,1,True,LIV,8,-1
32,33,Kieran,Richardson,Aston Villa,2,Defender,41,100.0,100.0,559,0.0,0.0,1.0,41,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1,True,LIV,8,0
33,34,Ron,Vlaar,Aston Villa,2,Defender,45,,,0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LIV,8,0
34,35,Philippe,Senderos,Aston Villa,2,Defender,40,100.0,100.0,0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LIV,8,0
35,36,Aly,Cissokho,Aston Villa,2,Defender,45,,,900,1.4,49.0,10.0,45,270.0,0.0,0.0,1.0,3.0,0.0,0.181481481481,0.037037037037,0.0,0.0,0.0037037037037,0.0,0.0,1,True,LIV,8,-1
36,37,Alan,Hutton,Aston Villa,2,Defender,41,100.0,100.0,1706,0.4,0.0,0.0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LIV,8,1
37,38,Ciaran,Clark,Aston Villa,2,Defender,43,100.0,100.0,992,0.2,0.0,0.0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LIV,8,0
38,39,Jores,Okore,Aston Villa,2,Defender,44,100.0,100.0,990,1.2,53.0,9.0,44,270.0,0.0,0.0,1.0,3.0,0.0,0.196296296296,0.0333333333333,0.0,0.0,0.0037037037037,0.0,0.0,1,True,LIV,8,-1
39,40,Nathan,Baker,Aston Villa,2,Defender,40,0.0,0.0,0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LIV,8,0
40,41,Lewis,Kinsella,Aston Villa,2,Defender,38,,,0,0.0,0.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LIV,8,0
41,42,Micah,Richards,Aston Villa,2,Defender,43,100.0,100.0,1884,1.2,35.0,6.0,44,180.0,0.0,0.0,1.0,2.0,0.0,0.194444444444,0.0333333333333,0.0,0.0,0.00555555555556,0.0,0.0,1,True,LIV,8,-1
42,43,Fabian,Delph,Man City,9,Midfielder,54,0.0,0.0,514,0.3,53.0,12.0,54,165.0,1.0,0.0,1.0,2.0,0.0,0.321212121212,0.0727272727273,0.00606060606061,0.0,0.00606060606061,0.0,0.0,3,True,TOT,2,0
43,44,Carles,Gil de Pareja Vicent,Aston Villa,2,Midfielder,46,100.0,100.0,1229,1.8,29.0,7.0,46,226.0,0.0,0.0,1.0,2.0,0.0,0.128318584071,0.0309734513274,0.0,0.0,0.00442477876106,0.0,0.0,1,True,LIV,8,2
44,45,Charles,N'Zogbia,Aston Villa,2,Midfielder,45,,,43,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,LIV,8,0
