,id,first_name,second_name,team_name,team_id,type_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,minutes,form,bonus_form_t1,fantasy_form_t1,cost_t1,minutes_t1,goals_t1,assists_t1,clean_sheets_t1,goals_conceded_t1,saves_t1,bonus_per_min_t1,pts_per_min_t1,goals_per_min_t1,assists_per_min_t1,clean_sheets_per_min_t1,goals_conceded_per_min_t1,saves_per_min_t1,own_team_form,home,next_team,next_team_pos_t,fantasy_points_t
0,1,Wojciech,Szczesny,Arsenal,1,Goalkeeper,50,0.0,0.0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,SOU,7,0
1,2,David,Ospina,Arsenal,1,Goalkeeper,47,100.0,100.0,90,1.2,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,SOU,7,0
2,3,Petr,Cech,Arsenal,1,Goalkeeper,60,0.0,0.0,2520,2.8,82.0,22.0,58,270.0,0.0,0.0,2.0,3.0,14.0,0.303703703704,0.0814814814815,0.0,0.0,0.00740740740741,0.0,0.0518518518519,1,True,SOU,7,8
3,4,Laurent,Koscielny,Arsenal,1,Defender,63,0.0,0.0,2035,1.4,90.0,23.0,62,270.0,1.0,0.0,2.0,3.0,0.0,0.333333333333,0.0851851851852,0.0037037037037,0.0,0.00740740740741,0.0,0.0,1,True,SOU,7,6
4,5,Per,Mertesacker,Arsenal,1,Defender,52,100.0,100.0,1817,0.8,67.0,13.0,53,270.0,0.0,0.0,2.0,3.0,0.0,0.248148148148,0.0481481481481,0.0,0.0,0.00740740740741,0.0,0.0,1,True,SOU,7,0
5,6,Gabriel Armando,de Abreu,Arsenal,1,Defender,43,100.0,100.0,1184,2.0,0.0,0.0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,SOU,7,5
6,7,Héctor,Bellerín,Arsenal,1,Defender,61,100.0,100.0,2430,3.8,65.0,13.0,61,270.0,0.0,0.0,2.0,3.0,0.0,0.240740740741,0.0481481481481,0.0,0.0,0.00740740740741,0.0,0.0,1,True,SOU,7,7
7,8,Kieran,Gibbs,Arsenal,1,Defender,51,100.0,100.0,374,0.4,9.0,2.0,52,25.0,0.0,0.0,0.0,1.0,0.0,0.36,0.08,0.0,0.0,0.0,0.0,0.0,1,True,SOU,7,0
8,9,Mathieu,Debuchy,Arsenal,1,Defender,51,0.0,0.0,142,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,SOU,7,0
9,10,Carl,Jenkinson,Arsenal,1,Defender,48,0.0,0.0,1228,0.0,13.0,3.0,49,51.0,0.0,0.0,0.0,0.0,0.0,0.254901960784,0.0588235294118,0.0,0.0,0.0,0.0,0.0,3,True,AVL,20,0
10,11,Nacho,Monreal,Arsenal,1,Defender,59,,,2439,2.0,77.0,15.0,59,270.0,0.0,0.0,2.0,3.0,0.0,0.285185185185,0.0555555555556,0.0,0.0,0.00740740740741,0.0,0.0,1,True,SOU,7,8
11,12,Calum,Chambers,Arsenal,1,Defender,46,,,317,0.2,5.0,2.0,46,3.0,0.0,0.0,0.0,0.0,0.0,1.66666666667,0.666666666667,0.0,0.0,0.0,0.0,0.0,1,True,SOU,7,0
