,id,first_name,second_name,team_name,team_id,type_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,minutes,form,bonus_form_t1,fantasy_form_t1,cost_t1,minutes_t1,goals_t1,assists_t1,clean_sheets_t1,goals_conceded_t1,saves_t1,bonus_per_min_t1,pts_per_min_t1,goals_per_min_t1,assists_per_min_t1,clean_sheets_per_min_t1,goals_conceded_per_min_t1,saves_per_min_t1,own_team_form,home,next_team,next_team_pos_t,fantasy_points_t
0,1,Wojciech,Szczesny,Arsenal,1,Goalkeeper,50,0.0,0.0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,LIV,9,0
1,2,David,Ospina,Arsenal,1,Goalkeeper,47,100.0,100.0,90,1.2,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,LIV,9,0
2,3,Petr,Cech,Arsenal,1,Goalkeeper,60,0.0,0.0,2520,2.8,57.0,10.0,57,270.0,0.0,0.0,1.0,5.0,9.0,0.211111111111,0.037037037037,0.0,0.0,0.0037037037037,0.0,0.0333333333333,3,False,LIV,9,2
3,4,Laurent,Koscielny,Arsenal,1,Defender,63,0.0,0.0,2035,1.4,35.0,2.0,61,180.0,0.0,0.0,0.0,5.0,0.0,0.194444444444,0.0111111111111,0.0,0.0,0.0,0.0,0.0,3,False,LIV,9,1
4,5,Per,Mertesacker,Arsenal,1,Defender,52,100.0,100.0,1817,0.8,57.0,8.0,53,270.0,0.0,0.0,1.0,5.0,0.0,0.211111111111,0.0296296296296,0.0,0.0,0.0037037037037,0.0,0.0,3,False,LIV,9,1
5,6,Gabriel Armando,de Abreu,Arsenal,1,Defender,43,100.0,100.0,1184,2.0,47.0,14.0,43,90.0,1.0,0.0,1.0,0.0,0.0,0.522222222222,0.155555555556,0.0111111111111,0.0,0.0111111111111,0.0,0.0,3,False,LIV,9,0
6,7,Héctor,Bellerín,Arsenal,1,Defender,61,100.0,100.0,2430,3.8,72.0,9.0,60,270.0,0.0,0.0,1.0,5.0,0.0,0.266666666667,0.0333333333333,0.0,0.0,0.0037037037037,0.0,0.0,3,False,LIV,9,1
7,8,Kieran,Gibbs,Arsenal,1,Defender,51,100.0,100.0,374,0.4,27.0,7.0,52,102.0,0.0,0.0,1.0,1.0,0.0,0.264705882353,0.0686274509804,0.0,0.0,0.00980392156863,0.0,0.0,3,False,LIV,9,1
8,9,Mathieu,Debuchy,Arsenal,1,Defender,51,0.0,0.0,142,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,LIV,9,0
9,10,Carl,Jenkinson,Arsenal,1,Defender,48,0.0,0.0,1228,0.0,19.0,1.0,50,141.0,0.0,0.0,0.0,2.0,0.0,0.13475177305,0.00709219858156,0.0,0.0,0.0,0.0,0.0,3,False,BOU,16,1
10,11,Nacho,Monreal,Arsenal,1,Defender,59,,,2439,2.0,36.0,3.0,60,189.0,0.0,0.0,0.0,5.0,0.0,0.190476190476,0.015873015873,0.0,0.0,0.0,0.0,0.0,3,False,LIV,9,1
11,12,Calum,Chambers,Arsenal,1,Defender,46,,,317,0.2,36.0,7.0,46,111.0,0.0,0.0,1.0,1.0,0.0,0.324324324324,0.0630630630631,0.0,0.0,0.00900900900901,0.0,0.0,3,False,LIV,9,0
12,13,Alexis,Sánchez,Arsenal,1,Midfielder,109,100.0,100.0,1650,3.6,0.0,0.0,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,LIV,9,0
13,14,Theo,Walcott,Arsenal,1,Midfielder,81,100.0,100.0,1282,2.0,25.0,12.0,84,254.0,1.0,0.0,1.0,4.0,0.0,0.0984251968504,0.0472440944882,0.00393700787402,0.0,0.00393700787402,0.0,0.0,3,False,LIV,9,2
14,15,Mesut,Özil,Arsenal,1,Midfielder,100,100.0,100.0,2348,6.6,104.0,27.0,100,255.0,1.0,3.0,2.0,4.0,0.0,0.407843137255,0.105882352941,0.00392156862745,0.0117647058824,0.0078431372549,0.0,0.0,3,False,LIV,9,2
15,16,Santiago,Cazorla,Arsenal,1,Midfielder,79,0.0,0.0,1203,0.0,0.0,0.0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,LIV,9,0
16,17,Aaron,Ramsey,Arsenal,1,Midfielder,79,100.0,100.0,2217,3.4,38.0,6.0,82,270.0,0.0,0.0,1.0,5.0,0.0,0.140740740741,0.0222222222222,0.0,0.0,0.0037037037037,0.0,0.0,3,False,LIV,9,11
17,18,Jack,Wilshere,Arsenal,1,Midfielder,58,0.0,0.0,0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,LIV,9,0
18,19,Alex,Oxlade-Chamberlain,Arsenal,1,Midfielder,55,0.0,0.0,928,2.0,27.0,5.0,55,132.0,0.0,0.0,1.0,3.0,0.0,0.204545454545,0.0378787878788,0.0,0.0,0.00757575757576,0.0,0.0,3,False,LIV,9,1
19,20,Mikel,Arteta,Arsenal,1,Midfielder,47,100.0,100.0,166,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,LIV,9,1
20,21,Tomas,Rosicky,Arsenal,1,Midfielder,49,0.0,0.0,0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,LIV,9,0
21,22,Serge,Gnabry,Arsenal,1,Midfielder,45,100.0,100.0,13,0.0,0.0,0.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,LIV,9,0
22,23,Gedion,Zelalem,Arsenal,1,Midfielder,48,0.0,0.0,0,0.0,0.0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,LIV,9,0
23,24,Francis,Coquelin,Arsenal,1,Midfielder,42,100.0,100.0,1192,1.0,0.0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,LIV,9,0
24,25,Mathieu,Flamini,Arsenal,1,Midfielder,44,100.0,100.0,1089,0.6,26.0,4.0,44,162.0,0.0,0.0,0.0,4.0,0.0,0.16049382716,0.0246913580247,0.0,0.0,0.0,0.0,0.0,3,False,LIV,9,2
25,26,Olivier,Giroud,Arsenal,1,Forward,89,,,1923,2.8,46.0,15.0,92,259.0,1.0,1.0,1.0,5.0,0.0,0.177606177606,0.0579150579151,0.003861003861,0.003861003861,0.003861003861,0.0,0.0,3,False,LIV,9,13
26,27,Danny,Welbeck,Arsenal,1,Forward,73,100.0,100.0,201,3.8,0.0,0.0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,LIV,9,0
27,28,Chuba,Akpom,Arsenal,1,Forward,50,0.0,0.0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,LIV,9,0
28,29,Yaya,Sanogo,Arsenal,1,Forward,50,0.0,0.0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,LIV,9,0
