listing_id,date
1994427,2014-02-27
1994427,2015-10-07
1994427,2015-10-12
1994427,2015-10-17
1994427,2015-10-26
1774461,2013-11-22
4511292,2015-07-07
4511292,2015-07-23
4511292,2015-08-27
8613580,2015-10-08
8613580,2015-10-11
8613580,2015-10-13
7528301,2015-07-30
6936417,2015-07-06
6936417,2015-08-28
6936417,2015-08-31
6936417,2015-09-26
6936417,2015-10-01
1684346,2013-10-21
1684346,2013-10-23
1684346,2014-03-22
1684346,2014-06-19
1684346,2014-07-11
1684346,2014-07-26
1684346,2014-08-08
1684346,2014-08-12
1684346,2014-08-20
1684346,2014-09-02
1684346,2014-09-04
1684346,2014-09-16
1684346,2014-10-04
1684346,2014-10-08
1684346,2014-10-31
1684346,2014-12-09
1684346,2015-01-16
1684346,2015-07-01
1684346,2015-07-14
1684346,2015-09-01
1684346,2015-10-07
1684346,2015-10-11
1684346,2015-10-14
7745558,2015-08-11
7745558,2015-08-21
7745558,2015-08-23
7745558,2015-09-01
7745558,2015-09-07
7745558,2015-09-13
7745558,2015-09-19
7745558,2015-09-24
7745558,2015-10-05
7745558,2015-10-13
7745558,2015-10-19
3534282,2014-07-29
3534282,2014-08-24
3534282,2014-09-06
3534282,2014-09-13
3534282,2014-09-16
3534282,2014-09-21
3534282,2014-09-26
3534282,2014-11-02
3534282,2014-11-18
3534282,2015-02-07
3534282,2015-02-11
3534282,2015-03-21
3534282,2015-03-29
3534282,2015-04-11
3534282,2015-04-17
3534282,2015-04-29
3534282,2015-05-14
3534282,2015-05-19
3534282,2015-05-29
3534282,2015-06-06
3534282,2015-06-13
3534282,2015-06-18
3534282,2015-06-26
3534282,2015-06-29
3534282,2015-07-05
3534282,2015-07-18
3534282,2015-07-21
3534282,2015-08-07
3534282,2015-08-09
3534282,2015-08-14
3534282,2015-08-18
3534282,2015-09-05
3534282,2015-09-22
3534282,2015-10-28
6529917,2015-06-02
6529917,2015-09-26
7181467,2015-08-02
7181467,2015-08-09
7181467,2015-08-21
7181467,2015-08-22
7181467,2015-09-06
7181467,2015-09-27
7181467,2015-10-05
7181467,2015-10-18
7968598,2015-10-16
7968598,2015-10-27
7399972,2015-07-25
7399972,2015-07-26
7399972,2015-07-27
7399972,2015-07-30
7278792,2015-09-27
7278792,2015-10-03
144043,2011-06-20
144043,2011-06-26
144043,2011-08-04
144043,2011-08-15
144043,2011-09-01
144043,2011-10-10
144043,2011-10-17
144043,2011-10-24
144043,2011-12-09
144043,2012-02-07
144043,2012-04-16
144043,2012-05-18
144043,2012-05-25
144043,2012-06-05
144043,2012-06-12
144043,2012-06-14
144043,2012-06-17
144043,2012-06-25
144043,2012-07-24
144043,2012-08-26
144043,2012-08-29
144043,2012-09-04
144043,2012-09-18
144043,2012-09-22
144043,2012-10-03
144043,2012-10-06
144043,2012-12-08
144043,2012-12-12
144043,2013-05-18
144043,2013-05-22
144043,2013-07-20
144043,2013-07-22
144043,2013-07-30
144043,2013-08-26
144043,2013-09-11
144043,2013-09-17
144043,2013-09-21
144043,2013-09-28
144043,2013-10-03
144043,2013-10-07
144043,2013-10-28
144043,2013-11-08
144043,2013-11-19
144043,2013-11-21
144043,2014-02-14
144043,2014-02-18
144043,2014-03-17
144043,2014-03-25
144043,2014-04-11
144043,2014-04-18
144043,2014-04-24
144043,2014-04-28
144043,2014-05-21
144043,2014-05-23
144043,2014-05-26
144043,2014-06-10
144043,2014-06-16
144043,2014-06-30
144043,2014-07-14
144043,2014-07-18
144043,2014-07-30
144043,2014-08-16
144043,2014-08-18
144043,2014-08-21
144043,2014-08-28
144043,2014-09-01
144043,2014-09-16
144043,2014-10-18
144043,2014-10-22
144043,2014-10-30
144043,2014-12-08
144043,2015-01-04
144043,2015-01-11
144043,2015-03-02
144043,2015-03-15
144043,2015-04-25
144043,2015-04-30
144043,2015-05-07
144043,2015-05-15
144043,2015-06-25
144043,2015-06-29
144043,2015-07-08
144043,2015-07-25
144043,2015-07-28
144043,2015-07-31
144043,2015-08-05
144043,2015-08-17
144043,2015-08-24
144043,2015-08-27
144043,2015-08-31
144043,2015-09-04
144043,2015-09-07
144043,2015-09-23
144043,2015-09-28
144043,2015-10-07
144043,2015-10-19
4227441,2014-10-06
4227441,2014-10-13
4227441,2014-10-17
4227441,2014-10-22
4227441,2014-10-29
4227441,2014-11-01
4227441,2014-11-03
4227441,2014-11-08
4227441,2014-11-10
4227441,2014-11-19
4227441,2014-11-23
4227441,2014-12-02
4227441,2014-12-07
4227441,2014-12-08
4227441,2014-12-13
4227441,2014-12-18
4227441,2015-01-02
4227441,2015-01-17
4227441,2015-01-20
4227441,2015-01-25
4227441,2015-03-04
4227441,2015-03-11
4227441,2015-03-22
4227441,2015-03-25
4227441,2015-03-28
4227441,2015-04-05
4227441,2015-04-11
4227441,2015-04-21
4227441,2015-05-04
4227441,2015-05-08
4227441,2015-05-12
4227441,2015-05-16
4227441,2015-05-21
4227441,2015-05-28
4227441,2015-06-05
4227441,2015-06-11
4227441,2015-06-17
4227441,2015-06-20
4227441,2015-07-11
4227441,2015-07-16
4227441,2015-07-25
4227441,2015-08-10
4227441,2015-08-12
4227441,2015-08-18
4227441,2015-08-25
4227441,2015-09-15
4227441,2015-09-21
4227441,2015-10-02
4227441,2015-10-08
4227441,2015-10-11
4227441,2015-10-14
848578,2013-02-12
848578,2013-03-26
848578,2013-04-03
848578,2013-05-07
848578,2013-05-16
848578,2013-05-21
848578,2013-06-12
848578,2013-07-04
848578,2013-07-23
848578,2013-08-30
848578,2013-11-06
848578,2013-11-29
848578,2014-01-21
848578,2014-02-01
848578,2014-02-25
848578,2014-05-10
848578,2014-05-17
848578,2014-06-08
848578,2014-06-12
848578,2014-06-17
848578,2014-07-06
848578,2014-07-26
848578,2014-07-30
848578,2014-08-06
848578,2014-08-15
848578,2014-08-28
848578,2014-08-31
848578,2014-09-06
848578,2014-09-12
848578,2014-09-15
848578,2014-09-18
848578,2014-09-21
848578,2014-10-18
848578,2014-10-25
848578,2014-11-04
848578,2014-11-08
848578,2014-11-19
848578,2014-12-12
848578,2014-12-26
848578,2014-12-30
848578,2015-01-05
848578,2015-01-15
848578,2015-01-19
848578,2015-01-24
848578,2015-02-28
848578,2015-03-07
848578,2015-03-12
848578,2015-03-16
848578,2015-03-30
848578,2015-04-05
848578,2015-04-11
848578,2015-04-14
848578,2015-05-08
848578,2015-05-11
848578,2015-05-20
848578,2015-05-26
848578,2015-05-30
848578,2015-06-16
848578,2015-06-21
848578,2015-06-28
848578,2015-07-06
848578,2015-07-29
848578,2015-09-04
848578,2015-09-07
848578,2015-09-14
848578,2015-09-21
848578,2015-09-28
848578,2015-10-03
848578,2015-10-08
848578,2015-10-11
848578,2015-10-19
4677514,2015-06-13
4677514,2015-07-04
3569485,2014-07-30
3569485,2014-08-12
3569485,2014-08-26
3569485,2014-09-17
3569485,2014-10-14
3569485,2015-01-04
3569485,2015-04-20
3569485,2015-04-26
3569485,2015-06-03
3569485,2015-06-30
3569485,2015-07-10
3569485,2015-07-28
3569485,2015-08-07
3569485,2015-08-11
3569485,2015-08-16
3569485,2015-08-23
3569485,2015-09-21
3569485,2015-10-08
3569485,2015-10-11
3569485,2015-10-31
8207632,2015-10-03
8207632,2015-10-11
563887,2012-08-13
563887,2012-08-20
563887,2013-01-03
563887,2013-12-27
563887,2014-08-09
563887,2014-08-14
563887,2014-11-30
563887,2014-12-26
563887,2015-01-02
563887,2015-07-25
563887,2015-07-31
563887,2015-08-11
1417398,2013-08-02
1417398,2013-08-08
1417398,2013-09-01
1417398,2013-09-04
1417398,2013-09-06
1417398,2013-09-14
1417398,2013-09-28
1417398,2013-10-04
1417398,2013-10-08
1417398,2013-10-11
1417398,2013-10-20
1417398,2013-10-24
1417398,2013-10-31
1417398,2013-11-18
1417398,2013-11-25
1417398,2014-01-11
1417398,2014-01-13
1417398,2014-01-15
1417398,2014-01-18
1417398,2014-02-20
1417398,2014-02-25
1417398,2014-02-28
1417398,2014-03-12
1417398,2014-03-16
1417398,2014-03-24
1417398,2014-04-20
1417398,2014-04-23
1417398,2014-04-26
1417398,2014-05-01
1417398,2014-05-07
1417398,2014-05-12
1417398,2014-05-17
1417398,2014-05-20
1417398,2014-06-12
1417398,2014-06-16
1417398,2014-06-18
1417398,2014-06-23
1417398,2014-06-26
1417398,2014-07-04
1417398,2014-07-05
1417398,2014-07-06
1417398,2014-07-10
1417398,2014-07-12
1417398,2014-07-19
1417398,2014-07-22
1417398,2014-08-06
1417398,2014-08-12
1417398,2014-08-23
1417398,2014-08-28
1417398,2014-09-08
1417398,2014-09-17
1417398,2014-09-23
1417398,2014-10-17
1417398,2015-05-31
1417398,2015-06-07
1417398,2015-07-04
1417398,2015-07-28
1417398,2015-08-17
1417398,2015-08-26
1417398,2015-09-06
1417398,2015-09-14
1417398,2015-09-21
1417398,2015-09-26
1417398,2015-10-04
1417398,2015-10-13
1417398,2015-10-21
6365956,2015-05-15
6365956,2015-05-15
6365956,2015-05-24
6365956,2015-05-25
6365956,2015-05-28
6365956,2015-05-29
6365956,2015-06-09
6365956,2015-06-12
6365956,2015-06-15
6365956,2015-06-20
6365956,2015-06-22
6365956,2015-06-26
6365956,2015-07-01
6365956,2015-07-30
6365956,2015-08-10
6365956,2015-08-17
6365956,2015-09-13
6365956,2015-09-18
6365956,2015-09-21
6365956,2015-09-27
6365956,2015-10-26
5606513,2015-05-04
5606513,2015-08-11
5606513,2015-08-18
5606513,2015-09-20
1530745,2014-03-01
1530745,2014-03-12
1530745,2014-04-09
1530745,2014-04-28
1530745,2014-05-09
1530745,2014-05-21
1530745,2014-05-26
1530745,2014-06-22
1530745,2014-07-08
1530745,2014-08-22
1530745,2014-08-30
1530745,2014-09-22
1530745,2014-09-26
1530745,2014-11-15
746376,2012-11-02
746376,2015-11-01
8015145,2015-09-18
2077982,2013-12-22
2077982,2013-12-26
2077982,2014-01-05
2077982,2014-01-14
2077982,2014-01-17
2077982,2014-01-20
2077982,2014-01-22
2077982,2014-01-29
2077982,2014-02-02
2077982,2014-02-09
2077982,2014-02-15
2077982,2014-02-18
2077982,2014-02-24
2077982,2014-03-09
2077982,2014-03-17
2077982,2014-03-19
2077982,2014-04-25
2077982,2014-05-06
2077982,2014-05-08
2077982,2014-05-15
2077982,2014-05-17
2077982,2014-05-19
2077982,2014-06-12
2077982,2014-06-15
2077982,2014-06-18
2077982,2014-07-10
2077982,2014-07-13
2077982,2014-07-16
2077982,2014-07-18
2077982,2014-08-08
2077982,2014-08-16
2077982,2014-08-18
2077982,2014-09-20
2077982,2014-09-23
2077982,2014-10-09
2077982,2014-10-13
2077982,2014-10-30
2077982,2014-11-18
2077982,2014-12-04
2077982,2014-12-15
2077982,2014-12-23
2077982,2015-03-10
2077982,2015-03-16
2077982,2015-04-24
2077982,2015-05-12
2077982,2015-05-16
2077982,2015-05-26
2077982,2015-06-08
2077982,2015-06-18
2077982,2015-06-30
2077982,2015-07-10
2077982,2015-07-22
2077982,2015-08-07
2077982,2015-08-10
2077982,2015-08-24
2077982,2015-09-02
2077982,2015-10-02
2077982,2015-10-06
2077982,2015-10-12
6357895,2015-05-30
6357895,2015-06-08
6357895,2015-06-13
6357895,2015-06-20
6357895,2015-06-25
6357895,2015-06-27
6357895,2015-06-29
6357895,2015-07-16
6357895,2015-07-21
6357895,2015-07-27
6357895,2015-07-29
6357895,2015-08-08
6357895,2015-08-11
6357895,2015-08-14
6357895,2015-08-21
6357895,2015-08-24
6357895,2015-09-01
6357895,2015-09-12
6357895,2015-09-25
6357895,2015-09-28
6357895,2015-10-02
6357895,2015-10-04
6357895,2015-10-09
6357895,2015-10-11
6357895,2015-10-20
6357895,2015-10-27
6357895,2015-10-30
594613,2012-07-29
594613,2012-08-14
594613,2012-08-20
594613,2012-09-24
594613,2012-10-17
594613,2013-03-11
594613,2013-03-29
594613,2013-05-21
594613,2013-05-27
594613,2013-07-08
594613,2013-07-14
594613,2013-07-25
594613,2013-07-31
594613,2013-08-06
594613,2013-08-20
594613,2013-08-22
594613,2013-08-25
594613,2013-08-29
594613,2013-09-16
594613,2013-09-25
594613,2013-10-07
594613,2013-10-14
594613,2013-12-01
594613,2013-12-29
594613,2014-01-02
594613,2014-02-18
594613,2014-03-03
594613,2014-04-20
594613,2014-05-27
594613,2014-07-19
594613,2014-07-27
594613,2014-08-02
594613,2014-08-15
594613,2014-12-29
594613,2015-05-19
594613,2015-06-25
594613,2015-07-06
594613,2015-07-12
594613,2015-07-15
594613,2015-07-31
594613,2015-08-07
594613,2015-08-11
594613,2015-08-15
3419211,2014-08-09
3419211,2014-09-01
4075971,2014-09-15
4075971,2014-09-20
4075971,2014-09-25
4075971,2014-10-01
4075971,2014-10-17
4075971,2014-10-21
4075971,2014-10-30
4075971,2014-11-24
4075971,2014-12-31
4075971,2015-01-09
4075971,2015-01-25
4075971,2015-02-17
4075971,2015-02-25
4075971,2015-03-15
4075971,2015-03-23
4075971,2015-04-27
4075971,2015-05-06
4075971,2015-05-26
4075971,2015-05-31
4075971,2015-06-11
4075971,2015-06-15
4075971,2015-06-28
4075971,2015-07-08
4075971,2015-07-13
4075971,2015-07-17
4075971,2015-07-26
4075971,2015-08-04
4075971,2015-08-11
4075971,2015-08-13
4075971,2015-08-18
4075971,2015-08-22
4075971,2015-08-30
4075971,2015-09-06
4075971,2015-09-15
4075971,2015-10-11
4075971,2015-10-25
3839657,2014-08-25
3839657,2014-08-30
3839657,2014-09-22
3839657,2014-10-01
3839657,2014-12-07
3839657,2015-01-11
3839657,2015-01-18
3839657,2015-02-09
3839657,2015-02-22
3839657,2015-03-01
3839657,2015-03-13
3839657,2015-03-29
3839657,2015-04-19
3839657,2015-04-24
3839657,2015-05-12
3839657,2015-07-13
3839657,2015-08-14
3839657,2015-09-19
6438454,2015-06-12
6438454,2015-06-15
6438454,2015-06-22
6438454,2015-06-26
6438454,2015-06-29
6438454,2015-07-06
6438454,2015-07-15
6438454,2015-07-28
6438454,2015-08-03
6438454,2015-08-10
6438454,2015-08-25
6438454,2015-09-08
6438454,2015-09-14
6438454,2015-09-29
6438454,2015-10-13
6438454,2015-10-19
126046,2011-09-18
126046,2011-10-10
126046,2011-10-16
126046,2011-12-11
126046,2012-02-26
126046,2012-05-22
126046,2012-05-29
126046,2012-06-04
126046,2012-06-09
126046,2012-06-21
126046,2012-07-11
126046,2012-07-15
126046,2012-09-14
126046,2012-09-17
126046,2012-12-29
126046,2013-04-01
126046,2013-04-19
126046,2013-05-18
126046,2013-05-20
126046,2013-06-30
126046,2013-07-16
126046,2013-07-28
126046,2013-08-02
126046,2013-08-06
126046,2013-08-21
126046,2013-08-27
126046,2013-09-01
126046,2013-09-30
126046,2013-10-03
126046,2013-10-14
126046,2013-11-01
126046,2013-12-09
126046,2013-12-22
126046,2014-02-23
126046,2014-03-23
126046,2014-05-07
126046,2014-05-27
